mysql> SELECT s3key, round(sum(bytes_sent)/max(bytes)) as count, min(dtime) as first,max(dtime) as last FROM downloads LEFT JOIN downloadable ON downloads.did = downloadable.id WHERE s3key like '%.aff' and year(dtime)=2023 GROUP BY s3key HAVING count>=1 ORDER BY s3key;
+-----------------------------------------------------------------------------------+-------+---------------------+---------------------+
| s3key                                                                             | count | first               | last                |
| corpora/scenarios/2009-m57-patents/drives-encrypted/jo-2009-12-07.aff             |     8 | 2023-01-03 00:00:00 | 2023-12-30 18:20:52 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/jo-2009-12-08.aff             |     8 | 2023-01-09 00:00:00 | 2023-12-31 03:33:14 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/jo-2009-12-09.aff             |    10 | 2023-01-16 00:00:00 | 2023-12-30 01:02:31 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/jo-2009-12-10.aff             |     9 | 2023-01-17 00:00:00 | 2023-12-31 20:24:02 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/jo-2009-12-11-001.aff         |     9 | 2023-01-17 00:00:00 | 2023-12-31 23:11:42 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/jo-2009-12-11-002.aff         |    11 | 2023-01-16 00:00:00 | 2023-12-30 07:58:20 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/pat-2009-11-12.aff            |    10 | 2023-01-01 00:00:00 | 2023-12-31 10:23:22 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/pat-2009-11-12start.aff       |     8 | 2023-01-04 00:00:00 | 2023-12-31 07:18:58 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/pat-2009-11-16.aff            |     9 | 2023-01-10 00:00:00 | 2023-12-30 02:07:25 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/pat-2009-11-17.aff            |     8 | 2023-01-15 00:00:00 | 2023-12-31 09:38:04 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/pat-2009-11-18.aff            |     9 | 2023-01-15 00:00:00 | 2023-12-30 21:45:09 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/pat-2009-11-19.aff            |    10 | 2023-01-15 00:00:00 | 2023-12-31 17:47:02 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/pat-2009-11-20.aff            |     9 | 2023-01-01 00:00:00 | 2023-12-29 13:39:33 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/pat-2009-11-23.aff            |     9 | 2023-01-11 00:00:00 | 2023-12-30 21:44:34 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/pat-2009-11-24.aff            |    12 | 2023-01-15 00:00:00 | 2023-12-30 03:12:23 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/pat-2009-11-30.aff            |     8 | 2023-01-15 00:00:00 | 2023-12-30 00:14:15 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/pat-2009-12-01.aff            |    10 | 2023-01-13 00:00:00 | 2023-12-31 12:15:19 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/pat-2009-12-02.aff            |     8 | 2023-01-05 00:00:00 | 2023-12-30 02:08:46 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/pat-2009-12-03.aff            |     9 | 2023-01-15 00:00:00 | 2023-12-31 08:26:59 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/pat-2009-12-04.aff            |    10 | 2023-01-01 00:00:00 | 2023-12-31 20:02:58 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/pat-2009-12-07.aff            |     8 | 2023-01-11 00:00:00 | 2023-12-31 23:15:04 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/pat-2009-12-08.aff            |     9 | 2023-01-17 00:00:00 | 2023-12-30 19:29:24 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/pat-2009-12-09.aff            |     9 | 2023-01-17 00:00:00 | 2023-12-31 12:27:25 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/pat-2009-12-10.aff            |    11 | 2023-01-14 00:00:00 | 2023-12-30 16:02:03 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/pat-2009-12-11.aff            |    10 | 2023-01-17 00:00:00 | 2023-12-31 22:00:09 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-11-12.aff          |    11 | 2023-01-16 00:00:00 | 2023-12-29 13:37:50 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-11-12start.aff     |     9 | 2023-01-14 00:00:00 | 2023-12-30 23:01:05 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-11-16.aff          |    10 | 2023-01-16 00:00:00 | 2023-12-31 14:46:29 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-11-17.aff          |    10 | 2023-01-14 00:00:00 | 2023-12-31 05:20:03 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-11-18.aff          |     8 | 2023-01-15 00:00:00 | 2023-12-31 22:09:03 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-11-19.aff          |     7 | 2023-01-15 00:00:00 | 2023-12-30 17:20:14 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-11-20.aff          |     8 | 2023-01-14 00:00:00 | 2023-12-31 10:46:39 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-11-23.aff          |     9 | 2023-01-16 00:00:00 | 2023-12-30 01:04:49 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-11-24.aff          |    11 | 2023-01-16 00:00:00 | 2023-12-31 13:54:05 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-11-30.aff          |    10 | 2023-01-11 00:00:00 | 2023-12-31 19:00:33 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-12-01.aff          |     9 | 2023-01-16 00:00:00 | 2023-12-30 01:43:40 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-12-02.aff          |     8 | 2023-01-08 00:00:00 | 2023-12-30 02:39:02 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-12-03.aff          |     8 | 2023-01-16 00:00:00 | 2023-12-30 12:30:12 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-12-04.aff          |     8 | 2023-01-16 00:00:00 | 2023-12-31 18:17:50 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-12-07.aff          |     9 | 2023-01-07 00:00:00 | 2023-12-30 11:21:36 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-12-08.aff          |     8 | 2023-01-16 00:00:00 | 2023-12-30 17:27:19 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-12-09.aff          |     7 | 2023-01-10 00:00:00 | 2023-12-31 14:44:28 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-12-10.aff          |     7 | 2023-01-15 00:00:00 | 2023-12-30 14:27:13 |
